Cell,Cycle,IR_mean,IR_variance,IR_max,QC_mean,QC_variance,QC_max,QD_mean,QD_variance,QD_max,chargetime_mean,chargetime_variance,chargetime_max,Tmin_mean,Tmin_variance,Tmin_max,Tmax_mean,Tmax_variance,Tmax_max,Tavg_mean,Tavg_variance,Tavg_max
b1c0,1851.0,0.014799759666666669,3.08049472441595e-05,0.016742354,0.9537665555555557,0.1279237208917553,1.0743366,0.9538563666666666,0.12794805018251001,1.0744922,11.896144444444445,19.90278790023056,13.42577666666666,26.34474555555556,97.6049137443263,29.752932,31.685318888888887,141.18638637646785,35.728691,28.37242225080341,113.20338107194904,31.96106185480935
b1c1,2159.0,0.015035303777777778,3.1794601075745445e-05,0.017038831,0.9580055666666668,0.12906398436947503,1.0793617,0.9582050333333333,0.12911773556964748,1.0795895,11.915500555555557,19.967154869200005,13.426250000000012,26.625287333333336,99.70173887087351,30.133654,30.65598611111111,132.17658965623463,34.707664,28.197861472388258,111.81499744347704,31.77312162200526
b1c2,2236.0,0.014870379888888887,3.110152397720986e-05,0.01686798,0.9620190111111112,0.13014716060901613,1.0835205,0.9622189444444444,0.13020131161425028,1.0837147,11.887100740740735,19.872423855917418,13.425761666666675,26.739753333333336,100.56463063067402,30.300148,30.993761888888887,135.1048698060006,35.098438,28.360691397755843,113.11090672612798,31.969830121402826
b1c3,1433.0,0.014488334222222224,2.952046868069819e-05,0.016369704,0.9618391666666667,0.13009895292635001,1.0836259,0.9622406777777778,0.13020758188041695,1.0840378,10.71151277777778,16.136596660262505,12.092768333333334,26.441429222222226,98.33131021679446,29.996559,27.537228000000002,106.65841838644,31.18433,26.957743475498486,102.19700044004024,30.39341168333336
b1c4,1708.0,0.01484683322222222,3.1000128167840444e-05,0.016787428,0.960237111111111,0.1296651722401961,1.0816168,0.9603133222222223,0.12968587484323943,1.0817327,10.71137092592593,16.136176271125787,12.092648333333331,26.444945666666666,98.34806799454773,29.840086,30.69588311111111,132.50653266470687,34.632095,28.163881377017734,111.5448760740484,31.72598556553616
b1c5,1073.0,0.01450798488888889,2.960323336239786e-05,0.016437579,0.9584949,0.129195763008155,1.0798883,0.9585971444444444,0.1292234173701003,1.0799831,9.741642962962967,13.347040193471381,11.001798333333316,26.115320000000008,95.90932364323076,29.425596,29.345878222222225,121.10524088339345,33.086578,27.5646204377837,106.84821951664635,31.03122615083791
b1c6,635.0,0.014991819555555555,3.161497175051878e-05,0.017001977,0.9586612111111114,0.1292416910698661,1.0804281,0.9591580222222221,0.12937554280534447,1.08091,8.943446481481484,11.251472362422534,10.179916666666651,26.720263333333335,100.40527164243225,30.13072,31.959878222222226,143.64194975495792,36.0327,28.930628016547658,117.70085347770917,32.57399658840036
b1c7,869.0,0.014416777,2.9230060632434003e-05,0.016311171,0.9741604555555556,0.1334526054850878,1.0967363,0.974512888888889,0.13354956155197112,1.0974988,8.924692777777782,11.202481044264593,10.09367000000002,26.488785777777778,98.67214594021995,29.86635,31.43783466666666,138.98834847352146,35.453625,28.6057827652177,115.07249635486114,32.20214237915128
b1c9,1053.0,0.015027355111111109,3.175756846863485e-05,0.016978227,0.9638479999999999,0.1306427598312525,1.085999,0.9643328444444444,0.13077374596639027,1.0863638,9.972911666666654,13.987159784061772,11.291163333333316,27.00126033333333,102.5349599409945,30.538561,31.88114077777778,142.93933267785093,35.989418,28.97899109291338,118.0948920926415,32.64735491213756
b1c11,787.0,0.014643389555555553,3.016802357413578e-05,0.016587827,0.938488111111111,0.12385898990187862,1.0573579,0.9390430333333334,0.12400523390946752,1.0579443,10.375999259259254,15.141178508731317,11.73554166666666,27.05158511111111,102.9129331921586,30.539524,32.269264666666665,146.43591658425126,36.386898,29.34171342790633,121.07009679477757,33.04455808545456
